trade_date,stock,purchase_price,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2002-01-02,x12749,4.74,-0.1371,0.01266,-0.6624,-0.6624,-0.6624,0.0,1.0,0.0,0.0,0.0,0.0,0.0654,0.0654,0.0654,0.0654,-0.1371,-0.1371,-0.6624,-0.6624,-0.6624,-0.1371,-0.1371,-0.6832,-0.6832,-0.6832,0.0,4.0,4.0,4.0,4.0,1.0,1.0,10.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,1.877,1.236,1.199,0.1284,0.2198,0.1913,0.8665,0.7985,0.7986,0.1195,0.2841,0.2464
2002-01-03,x23819,10.91,-0.06324,0.05866,0.2429,0.527,0.3731,0.0,1.0,1.0,1.0,1.0,0.0,0.1118,0.3144,0.593,0.7782,-0.06324,-0.06324,-0.07791,-0.07791,-0.07791,-0.06324,-0.06324,-0.1707,-0.1707,-0.2577,0.0,4.0,15.0,43.0,97.0,1.0,1.0,11.0,11.0,11.0,0.0,1.0,1.0,1.0,1.0,2.583,1.706,1.367,0.2711,0.6391,0.7584,0.9084,0.8582,0.8259,0.3625,0.6801,0.7217
2002-01-08,x23915,25.66,0.01286,-0.06469,-0.1002,0.1496,-0.1048,1.0,0.0,0.0,1.0,0.0,0.01286,0.01286,0.01286,0.1894,0.2272,0.0,-0.06469,-0.2303,-0.2303,-0.2303,0.0,-0.07657,-0.2401,-0.2401,-0.2753,1.0,1.0,1.0,53.0,70.0,0.0,5.0,9.0,9.0,9.0,1.0,0.0,0.0,1.0,1.0,0.5339,0.5182,0.5571,0.3037,0.3605,0.3136,0.5948,0.5709,0.6007,0.4052,0.4713,0.4227
2002-01-14,x20626,81.15,-0.02218,-0.02403,0.1091,0.2322,0.1065,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1246,0.2569,0.2765,-0.02218,-0.07061,-0.07061,-0.07061,-0.07061,-0.02218,-0.07061,-0.07061,-0.08618,-0.1332,0.0,0.0,19.0,44.0,116.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.327,0.8489,0.9392,1.473,1.559,1.319,0.8982,0.7069,0.741,0.8423,0.8544,0.8219
2002-01-15,x21979,31.18,-0.005773,-0.01379,0.09044,0.4339,0.1196,0.0,0.0,1.0,1.0,1.0,0.0,0.01507,0.1674,0.4743,0.4743,-0.005773,-0.02405,-0.02405,-0.02405,-0.02405,-0.005773,-0.03855,-0.06594,-0.08022,-0.2447,0.0,2.0,11.0,58.0,58.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.3651,0.4427,0.2824,0.1547,0.1929,0.1837,0.485,0.5402,0.3741,0.1717,0.228,0.232
2002-01-16,x19393,51.31,-0.001026,-0.03878,-0.06955,-0.3287,-0.5384,0.0,0.0,0.0,0.0,0.0,0.0,0.01313,0.01313,0.04452,0.04452,-0.001026,-0.03878,-0.1219,-0.373,-0.5464,-0.001026,-0.05123,-0.1333,-0.3997,-0.5657,0.0,4.0,4.0,40.0,40.0,1.0,5.0,14.0,58.0,121.0,0.0,0.0,0.0,0.0,0.0,1.85,1.638,1.588,4.706,5.279,5.499,0.8663,0.8429,0.8523,0.9561,0.9655,0.9676
2002-01-16,x39087,18.61,-0.005373,-0.0274,-0.2853,-0.1053,-0.3412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002149,0.002149,0.002149,-0.005373,-0.0274,-0.3208,-0.3208,-0.4841,-0.005373,-0.0274,-0.3223,-0.3223,-0.4853,0.0,0.0,7.0,7.0,7.0,1.0,5.0,14.0,14.0,112.0,0.0,0.0,0.0,0.0,0.0,1.092,1.181,1.291,0.8358,0.892,0.9057,0.7645,0.7854,0.8108,0.7465,0.7682,0.7784
2002-01-16,x66093,37.11,-0.006198,-0.01913,0.0002685,-0.08677,-0.2525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009161,0.06063,0.06063,-0.006198,-0.0415,-0.0706,-0.09809,-0.2525,-0.006198,-0.0415,-0.07904,-0.1496,-0.2952,0.0,0.0,10.0,31.0,31.0,1.0,3.0,14.0,60.0,126.0,0.0,0.0,0.0,0.0,0.0,1.68,1.971,2.043,6.321,6.914,7.368,0.8543,0.8736,0.8847,0.9701,0.9732,0.9766
2002-01-16,x88853,29.82,0.07881,0.05869,0.1885,0.4946,0.07579,1.0,1.0,1.0,1.0,1.0,0.07881,0.07881,0.1885,0.4946,0.4946,0.0,0.0,-0.007712,-0.007712,-0.007712,0.0,-0.05253,-0.08616,-0.08616,-0.2802,1.0,1.0,21.0,63.0,63.0,0.0,0.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,0.09285,0.1504,0.1577,0.1403,0.1676,0.1585,0.06188,0.1437,0.1477,0.1357,0.1877,0.1856
2002-01-17,x25785,26.52,-0.01361,-0.006122,-0.02857,0.1129,-0.1571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04082,0.1701,0.2374,-0.01361,-0.01837,-0.0449,-0.0449,-0.1571,-0.01361,-0.01837,-0.08235,-0.1337,-0.3189,0.0,0.0,9.0,35.0,86.0,1.0,2.0,12.0,12.0,126.0,0.0,0.0,0.0,1.0,0.0,2.415,1.831,1.835,1.334,1.767,2.051,0.9082,0.8602,0.8757,0.8244,0.8755,0.8919
2002-01-18,x84020,19.11,0.01071,0.07659,0.05677,0.09213,-0.2394,1.0,1.0,1.0,1.0,0.0,0.01071,0.07659,0.07659,0.2025,0.2025,0.0,0.0,0.0,0.0,-0.2394,0.0,0.0,-0.06816,-0.09443,-0.3675,1.0,5.0,5.0,47.0,47.0,0.0,0.0,0.0,0.0,126.0,1.0,1.0,1.0,1.0,0.0,0.4541,0.4643,0.4472,0.2753,0.3598,0.3539,0.5598,0.5507,0.5378,0.3625,0.4723,0.4802
2002-01-22,x77418,28.4,0.01408,-0.05986,-0.1901,-0.3271,-0.5933,1.0,0.0,0.0,0.0,0.0,0.01408,0.01408,0.01408,0.01408,0.01408,0.0,-0.05986,-0.1901,-0.3271,-0.5933,0.0,-0.07292,-0.2014,-0.3365,-0.599,1.0,1.0,1.0,1.0,1.0,0.0,5.0,21.0,63.0,126.0,1.0,0.0,0.0,0.0,0.0,6.292,5.234,5.163,6.361,8.433,7.817,0.976,0.9732,0.973,0.9721,0.9808,0.9784
2002-01-22,x77481,37.92,0.00211,-0.07753,-0.01187,0.1814,-0.7257,1.0,0.0,0.0,1.0,0.0,0.00211,0.02848,0.02848,0.2334,0.2334,0.0,-0.07753,-0.1134,-0.1134,-0.7257,0.0,-0.1031,-0.1379,-0.1379,-0.7776,1.0,2.0,2.0,41.0,41.0,0.0,5.0,10.0,10.0,126.0,1.0,0.0,0.0,1.0,0.0,0.6393,0.9925,0.8789,1.09,1.253,1.174,0.6307,0.751,0.723,0.8044,0.8142,0.8076
2002-01-22,x83981,12.72,0.02201,-0.1344,-0.4245,0.04796,-0.7547,1.0,0.0,0.0,1.0,0.0,0.02201,0.02201,0.02201,0.1211,0.1211,0.0,-0.1344,-0.4654,-0.4654,-0.7547,0.0,-0.1531,-0.4769,-0.4769,-0.7812,1.0,1.0,1.0,41.0,41.0,0.0,5.0,11.0,11.0,126.0,1.0,0.0,0.0,1.0,0.0,2.909,2.284,1.89,0.2275,0.4499,0.514,0.9202,0.8908,0.8777,0.2814,0.5517,0.6115
2002-01-22,x86414,32.78,0.04332,0.01525,-0.5278,-0.2923,-0.7376,1.0,1.0,0.0,0.0,0.0,0.04332,0.08359,0.08359,0.08359,0.08359,0.0,0.0,-0.5278,-0.5278,-0.7547,0.0,-0.06306,-0.5642,-0.5642,-0.7736,1.0,4.0,4.0,4.0,4.0,0.0,0.0,21.0,21.0,103.0,1.0,1.0,0.0,0.0,0.0,4.517,2.499,2.282,0.6034,0.6529,0.6485,0.9601,0.91,0.8975,0.6627,0.6839,0.6817
2002-01-22,x88587,8.7,-0.009195,-0.02069,-0.4195,-0.2621,-0.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.03218,0.03218,0.03218,0.03218,-0.009195,-0.02069,-0.4253,-0.4483,-0.7621,-0.009195,-0.05122,-0.4432,-0.4655,-0.7695,0.0,2.0,2.0,2.0,2.0,1.0,5.0,20.0,23.0,126.0,0.0,0.0,0.0,0.0,0.0,0.8533,0.4288,0.4795,0.1505,0.17,0.1748,0.7186,0.5249,0.5504,0.1597,0.1877,0.2086
2002-01-25,x22752,56.96,0.000702,0.04336,0.06478,-0.04372,-0.1924,1.0,1.0,1.0,0.0,0.0,0.000702,0.04336,0.0797,0.1301,0.1301,0.0,0.0,0.0,-0.08445,-0.3144,0.0,0.0,-0.02195,-0.1898,-0.3934,1.0,5.0,19.0,32.0,32.0,0.0,0.0,0.0,52.0,123.0,1.0,1.0,1.0,0.0,0.0,1.553,1.762,1.774,6.466,7.521,8.225,0.8383,0.8602,0.8705,0.9741,0.977,0.9802
