trade_date,stock,purchase_price,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2013-01-02,x77606,84.42,0.003317,-0.00616,0.09003,0.1398,0.2345,1.0,0.0,1.0,1.0,1.0,0.003317,0.003317,0.09666,0.1684,0.2497,0.0,-0.009477,-0.009477,-0.009477,-0.009477,0.0,-0.01275,-0.01275,-0.07664,-0.07664,1.0,1.0,20.0,50.0,114.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.7004,0.6986,0.708,0.3812,0.4613,0.5165,0.6267,0.6252,0.6186,0.3972,0.4874,0.537
2013-01-09,x23026,40.22,-0.002486,-0.02113,-2.325e-06,0.1305,-0.07161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009448,0.1305,0.1586,-0.002486,-0.02113,-0.02287,-0.03282,-0.1087,-0.002486,-0.02113,-0.02537,-0.05307,-0.2307,0.0,0.0,13.0,63.0,76.0,1.0,5.0,9.0,32.0,122.0,0.0,0.0,1.0,1.0,0.0,0.545,0.4817,0.5018,0.6573,0.7472,0.7791,0.5319,0.4641,0.4773,0.6315,0.6913,0.6951
2013-01-25,x14593,1759.5,0.02262,0.03124,0.02067,-0.05155,0.002522,1.0,1.0,1.0,0.0,1.0,0.02262,0.04181,0.09105,0.09105,0.09105,0.0,0.0,0.0,-0.1122,-0.1122,0.0,-0.01015,-0.07736,-0.1863,-0.1863,1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,58.0,58.0,1.0,1.0,1.0,0.0,0.0,4.602,3.585,3.47,17.52,21.82,20.53,0.962,0.9534,0.9564,0.998,0.9981,0.9981
2013-01-25,x21207,43.36,-0.01245,0.008071,-0.04428,-0.2281,-0.2994,0.0,1.0,0.0,0.0,0.0,0.0,0.008071,0.04428,0.04428,0.04428,-0.01245,-0.01245,-0.06481,-0.2537,-0.3863,-0.01245,-0.01245,-0.1045,-0.2853,-0.4123,0.0,5.0,12.0,12.0,12.0,1.0,1.0,18.0,56.0,114.0,0.0,1.0,0.0,0.0,0.0,1.065,1.094,1.124,0.8161,0.9384,1.096,0.788,0.7728,0.7727,0.714,0.7515,0.7841
2013-02-01,x80381,126.11,-0.001427,0.02165,0.004997,0.02918,0.06217,0.0,1.0,1.0,1.0,1.0,0.0,0.02165,0.03743,0.07501,0.1217,-0.001427,-0.001427,-0.01015,-0.01657,-0.01657,-0.001427,-0.01167,-0.04586,-0.05205,-0.09536,0.0,5.0,7.0,48.0,75.0,1.0,1.0,18.0,25.0,25.0,0.0,1.0,0.0,1.0,1.0,0.1642,0.1519,0.1421,0.5613,0.5401,0.5424,0.112,0.08187,0.05871,0.57,0.5556,0.5587
2013-02-04,x88661,97.34,0.002877,0.005342,0.02589,0.1779,0.1054,1.0,1.0,1.0,1.0,1.0,0.002877,0.008835,0.02938,0.2094,0.2246,0.0,-0.001233,-0.04459,-0.04459,-0.04459,0.0,-0.00998,-0.05295,-0.05295,-0.1086,1.0,2.0,20.0,59.0,74.0,0.0,3.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0,1.833,0.999,0.7301,0.5721,0.6383,0.7389,0.88,0.7407,0.6326,0.58,0.6199,0.6818
2013-02-14,x24010,61.8,-0.005663,0.004046,0.04304,0.1273,0.06408,0.0,1.0,1.0,1.0,1.0,0.0,0.004046,0.0555,0.1581,0.1707,-0.005663,-0.005663,-0.005663,-0.005663,-0.005663,-0.005663,-0.005663,-0.0118,-0.06385,-0.09177,0.0,5.0,20.0,53.0,108.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2526,0.2055,0.2207,0.4124,0.461,0.4892,0.21,0.1621,0.1594,0.442,0.4941,0.5104
2013-02-14,x60599,32.27,0.02324,0.07344,0.05981,0.1605,0.03719,1.0,1.0,1.0,1.0,1.0,0.02324,0.07344,0.1032,0.1742,0.1742,0.0,0.0,0.0,0.0,0.0,0.0,-0.006151,-0.03933,-0.03933,-0.1167,1.0,5.0,13.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.955,0.9895,0.9887,0.9177,0.9644,0.982,0.73,0.7363,0.7324,0.736,0.7598,0.7571
2013-02-20,x21207,40.56,-0.000247,0.001479,0.02194,-0.2125,-0.1911,0.0,1.0,1.0,0.0,0.0,0.0,0.0217,0.02194,0.03279,0.03279,-0.000247,-0.000247,-0.04832,-0.2448,-0.3471,-0.000247,-0.01979,-0.06853,-0.2688,-0.3679,0.0,4.0,21.0,26.0,26.0,1.0,1.0,9.0,61.0,117.0,0.0,1.0,1.0,0.0,0.0,1.32,1.102,1.134,0.7799,0.9154,1.063,0.8184,0.7758,0.7727,0.6906,0.7485,0.7784
2013-02-20,x27422,27.29,-0.01649,-0.05057,-0.2338,-0.2213,-0.2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01649,-0.05423,-0.255,-0.3653,-0.4254,-0.01649,-0.05423,-0.255,-0.3653,-0.4254,0.0,0.0,0.0,0.0,0.0,1.0,4.0,19.0,43.0,94.0,0.0,0.0,0.0,0.0,0.0,2.003,1.418,1.014,0.1776,0.2156,0.304,0.8902,0.8363,0.7386,0.1138,0.1852,0.2955
2013-02-21,x81138,18.55,0.001617,-0.09057,-0.0814,0.1111,-0.04474,1.0,0.0,0.0,1.0,0.0,0.001617,0.001617,0.001617,0.158,0.1989,0.0,-0.09057,-0.1267,-0.1267,-0.1267,0.0,-0.09203,-0.1281,-0.1281,-0.223,1.0,1.0,1.0,62.0,75.0,0.0,5.0,7.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,0.6304,0.5084,0.4449,0.07926,0.1086,0.1704,0.5669,0.4932,0.4186,0.003992,0.03509,0.1098
2013-02-25,x10147,46.71,0.004818,0.01708,0.0403,0.03592,0.1555,1.0,1.0,1.0,1.0,1.0,0.004818,0.01971,0.1222,0.1222,0.1844,0.0,0.0,0.0,-0.05826,-0.05826,0.0,-0.0116,-0.07338,-0.1608,-0.1608,1.0,2.0,13.0,13.0,115.0,0.0,0.0,0.0,38.0,38.0,1.0,1.0,1.0,0.0,1.0,3.806,3.852,3.736,1.833,2.051,2.153,0.9601,0.9571,0.9621,0.8802,0.8889,0.8958
2013-02-25,x39490,169.21,0.004232,-0.007099,0.0157,0.1148,0.08942,1.0,0.0,1.0,1.0,1.0,0.004232,0.01543,0.03372,0.1517,0.1894,0.0,-0.007099,-0.007099,-0.0602,-0.0602,0.0,-0.02218,-0.02218,-0.1078,-0.1349,1.0,2.0,15.0,60.0,79.0,0.0,5.0,5.0,38.0,38.0,1.0,0.0,1.0,1.0,1.0,0.833,0.5861,0.5588,1.138,1.256,1.415,0.6826,0.5556,0.5227,0.7904,0.8187,0.8428
2013-02-25,x79915,23.79,-0.01051,-0.05464,-0.04834,0.02396,-0.01134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01597,0.04162,0.1639,-0.01051,-0.05464,-0.05464,-0.166,-0.166,-0.01051,-0.05464,-0.06703,-0.1791,-0.1791,0.0,0.0,13.0,62.0,101.0,1.0,5.0,5.0,40.0,40.0,0.0,0.0,1.0,1.0,1.0,0.4674,0.4524,0.4642,0.1363,0.1518,0.1813,0.4271,0.4327,0.4451,0.05389,0.08967,0.1288
2013-02-25,x88661,93.54,-0.005773,0.05367,0.05837,0.235,0.1272,0.0,1.0,1.0,1.0,1.0,0.0,0.05367,0.07783,0.2743,0.2743,-0.005773,-0.005773,-0.005773,-0.005773,-0.005773,-0.005773,-0.005773,-0.03848,-0.03848,-0.13,0.0,5.0,14.0,60.0,60.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.006,1.012,0.7569,0.4936,0.6171,0.7277,0.7385,0.7485,0.6534,0.517,0.6101,0.678
2013-02-26,x23026,38.9,0.01414,0.02982,0.0707,0.02468,-0.02751,1.0,1.0,1.0,1.0,0.0,0.01414,0.02982,0.08226,0.1979,0.1979,0.0,0.0,0.0,0.0,-0.07841,0.0,0.0,-0.03183,-0.1446,-0.2307,1.0,5.0,13.0,44.0,44.0,0.0,0.0,0.0,0.0,90.0,1.0,1.0,1.0,1.0,0.0,0.774,0.5355,0.5469,0.6047,0.7088,0.757,0.6507,0.5107,0.5133,0.6008,0.6686,0.6875
2013-02-28,x80381,124.83,0.01105,-0.0006412,0.02611,0.06833,-0.003046,1.0,0.0,1.0,1.0,0.0,0.01105,0.0153,0.03509,0.1332,0.1332,0.0,-0.0006412,-0.00649,-0.00649,-0.01979,0.0,-0.0157,-0.0291,-0.05726,-0.135,1.0,3.0,10.0,57.0,57.0,0.0,5.0,7.0,7.0,119.0,1.0,0.0,1.0,1.0,0.0,0.1773,0.1655,0.1462,0.5187,0.5374,0.5428,0.1238,0.1072,0.06061,0.5289,0.5517,0.5606
2013-03-01,x14593,1721.86,-0.02421,0.002903,-0.001577,0.04475,0.1422,0.0,1.0,0.0,1.0,1.0,0.0,0.002903,0.07691,0.07752,0.1795,-0.02421,-0.02421,-0.02421,-0.09278,-0.09278,-0.02421,-0.02421,-0.07479,-0.1576,-0.1576,0.0,5.0,16.0,47.0,118.0,1.0,1.0,1.0,34.0,34.0,0.0,1.0,1.0,1.0,1.0,3.34,3.707,3.518,15.41,20.84,20.37,0.9521,0.9532,0.9564,0.998,0.9981,0.9981
2013-03-05,x18403,14.96,-0.03543,0.04612,0.008023,0.2005,-0.1497,0.0,1.0,1.0,1.0,0.0,0.0,0.04612,0.09893,0.2961,0.2961,-0.03543,-0.03543,-0.03543,-0.06885,-0.1711,-0.03543,-0.03543,-0.1223,-0.1527,-0.3605,0.0,5.0,9.0,56.0,56.0,1.0,1.0,1.0,24.0,124.0,0.0,1.0,1.0,1.0,0.0,2.771,1.867,1.443,0.1564,0.1833,0.2448,0.9301,0.8889,0.8463,0.08982,0.1267,0.2277
