trade_date,stock,purchase_price,trigger_drop_pct,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2002-05-01,x10078,13.94,-0.1479,-0.07461,-0.01148,-0.01148,-0.4376,-0.6141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06313,0.06313,0.06313,0.0,-0.1277,-0.1277,-0.4692,-0.6528,-0.07461,-0.1277,-0.1277,-0.5007,-0.6734,0.0,0.0,16.0,16.0,16.0,1.0,3.0,3.0,59.0,109.0,0.0,0.0,1.0,0.0,0.0,23.0,16.23,14.49,1.352,2.038,4.143,0.996,0.9962,0.9948,0.828,0.9011,0.9518
2002-07-19,x10078,8.5,-0.2672,-0.04471,-0.1106,-0.01411,-0.2965,-0.1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04471,0.04471,0.04471,0.0,-0.1294,-0.1694,-0.4306,-0.4306,-0.04471,-0.1294,-0.1694,-0.455,-0.455,0.0,0.0,18.0,18.0,18.0,1.0,4.0,11.0,54.0,54.0,0.0,0.0,1.0,0.0,0.0,18.29,17.8,15.97,0.9855,1.71,3.633,0.998,0.9962,0.9947,0.7849,0.8745,0.9368
2003-07-23,x10078,7.7,-0.1929,0.02597,-0.02857,0.01039,-0.09091,0.4338,1.0,0.0,1.0,0.0,1.0,0.0,0.03117,0.03117,0.1016,0.4709,0.0,-8.533e-07,-0.08312,-0.1688,-0.1688,0.0,-0.05793,-0.1108,-0.2455,-0.2455,1.0,2.0,2.0,32.0,125.0,0.0,5.0,17.0,50.0,50.0,1.0,0.0,0.0,0.0,1.0,15.48,14.46,16.17,0.857,0.7239,1.275,0.99,0.9941,0.9963,0.7585,0.7207,0.8183
2003-09-30,x10078,6.62,-0.1425,-0.01813,0.02417,0.06344,0.3468,0.2598,0.0,1.0,1.0,1.0,1.0,0.0,0.02417,0.1459,0.3716,0.7583,0.0,-0.03323,-0.03323,-0.03323,-0.03323,-0.01813,-0.03323,-0.08516,-0.08811,-0.3162,0.0,4.0,11.0,46.0,96.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,15.15,14.83,15.52,0.6934,0.713,1.112,0.988,0.9941,0.9963,0.6886,0.7176,0.8033
2007-04-25,x10078,10.54,-0.1128,-0.003795,-0.02277,-0.02277,-0.005692,0.129,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02277,0.03036,0.1822,0.0,-0.03416,-0.03416,-0.06641,-0.1176,-0.003795,-0.03416,-0.04453,-0.0872,-0.1436,0.0,0.0,18.0,54.0,119.0,1.0,4.0,4.0,33.0,78.0,0.0,0.0,1.0,1.0,1.0,14.74,12.85,12.81,0.7971,0.7723,0.7248,0.996,0.9944,0.9946,0.6879,0.688,0.6661
2008-05-02,x10078,6.32,-0.2261,0.02627,0.03181,-0.01804,-0.2625,-0.5814,1.0,1.0,0.0,0.0,0.0,0.0,0.02706,0.06742,0.06742,0.06742,0.0,0.0,0.0,-0.3053,-0.6487,0.0,-0.01156,-0.08006,-0.3491,-0.6709,1.0,5.0,9.0,9.0,9.0,0.0,0.0,21.0,49.0,123.0,1.0,1.0,0.0,0.0,0.0,2.356,7.746,10.15,0.4895,0.6488,0.7292,0.908,0.9887,0.9929,0.516,0.6238,0.6578
2008-08-01,x10078,4.66,-0.1232,-0.0118,0.09978,-0.03434,-0.4324,-0.5204,0.0,1.0,0.0,0.0,0.0,0.0,0.1277,0.1652,0.1652,0.1652,0.0,-0.0118,-0.04936,-0.5236,-0.6964,-0.0118,-0.02474,-0.1842,-0.5912,-0.7394,0.0,4.0,10.0,10.0,10.0,1.0,1.0,18.0,60.0,84.0,0.0,1.0,0.0,0.0,0.0,2.314,4.997,8.644,0.3293,0.5756,0.696,0.9044,0.966,0.9876,0.3805,0.5623,0.6394
2008-09-22,x10078,3.85,-0.1201,0.009103,-0.1222,-0.3797,-0.459,0.04811,1.0,0.0,0.0,0.0,1.0,0.0,0.03511,0.03511,0.03511,0.156,0.0,-0.006501,-0.3758,-0.632,-0.632,0.0,-0.152,-0.4008,-0.6445,-0.6445,1.0,3.0,3.0,3.0,122.0,0.0,5.0,21.0,49.0,49.0,1.0,0.0,0.0,0.0,1.0,1.681,3.173,7.861,0.298,0.5254,0.6738,0.8929,0.9362,0.9877,0.3313,0.5272,0.6261
2008-10-15,x10078,2.49,-0.1093,0.06237,-0.0503,-0.1791,-0.2032,0.3461,1.0,0.0,0.0,0.0,1.0,0.0,0.163,0.163,0.163,0.7887,0.0,-0.04024,-0.2716,-0.4306,-0.4306,0.0,-0.1834,-0.3737,-0.5104,-0.5104,1.0,3.0,3.0,3.0,105.0,0.0,5.0,20.0,32.0,32.0,1.0,0.0,0.0,0.0,1.0,1.487,2.661,7.342,0.2582,0.4929,0.663,0.8631,0.9247,0.9859,0.2917,0.5141,0.6221
2008-11-12,x10078,1.81,-0.1017,0.1271,-0.09668,0.1298,0.4199,1.486,1.0,0.0,1.0,1.0,1.0,0.0,0.1381,0.1381,0.5912,1.544,0.0,-0.002762,-0.2182,-0.2182,-0.2182,0.0,-0.2063,-0.3131,-0.3131,-0.3333,1.0,2.0,2.0,59.0,108.0,0.0,5.0,12.0,12.0,12.0,1.0,0.0,0.0,1.0,1.0,1.464,1.964,6.702,0.2086,0.4536,0.6465,0.8549,0.8925,0.9824,0.2505,0.4943,0.6186
2009-01-20,x10078,1.76,-0.1159,0.06838,0.1368,0.3447,1.624,1.61,1.0,1.0,1.0,1.0,1.0,0.0,0.07692,0.641,1.607,1.65,0.0,0.0,0.0,0.0,0.0,0.0,-0.03467,-0.1806,-0.3333,-0.3333,1.0,5.0,14.0,63.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.203,1.841,5.962,0.1963,0.3909,0.6113,0.8202,0.8848,0.9808,0.2174,0.4461,0.5993
2009-02-10,x10078,2.55,-0.1146,0.02353,-0.01373,-0.08431,0.7647,0.7882,1.0,0.0,0.0,1.0,1.0,0.0,0.04902,0.04902,0.8059,0.8235,0.0,-0.01961,-0.2471,-0.2471,-0.2471,0.0,-0.06542,-0.2822,-0.3105,-0.3105,1.0,2.0,2.0,48.0,88.0,0.0,4.0,18.0,18.0,18.0,1.0,0.0,0.0,1.0,1.0,1.373,1.824,5.587,0.2166,0.372,0.5925,0.8303,0.8829,0.9738,0.2555,0.4275,0.5881
2009-04-06,x10078,3.28,-0.2273,-0.04268,-0.05031,0.3887,0.4024,0.375,0.0,0.0,1.0,1.0,1.0,0.0,0.01829,0.404,0.4177,0.4253,0.0,-0.04268,-0.06555,-0.06555,-0.06555,-0.04268,-0.06737,-0.08233,-0.08233,-0.08233,0.0,3.0,10.0,50.0,96.0,1.0,5.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,2.925,1.903,4.791,0.3603,0.3311,0.5524,0.9603,0.8969,0.9703,0.4722,0.3904,0.5654
2002-03-04,x10104,54.68,-0.1451,0.01317,0.06072,-0.08705,-0.4644,-0.2985,1.0,1.0,0.0,0.0,0.0,0.0,0.03877,0.06072,0.06072,0.06072,0.0,0.0,-0.08412,-0.4206,-0.4644,0.0,-0.009901,-0.1393,-0.4951,-0.4951,1.0,5.0,5.0,5.0,5.0,0.0,0.0,21.0,63.0,63.0,1.0,1.0,0.0,0.0,0.0,12.15,13.64,13.32,4.378,4.376,6.917,0.99,0.9925,0.9949,0.9501,0.9547,0.9761
2011-12-21,x10104,103.08,-0.1166,-0.003104,0.001164,0.1063,0.1079,0.08653,0.0,1.0,1.0,1.0,1.0,0.0,0.01125,0.1141,0.1735,0.1735,0.0,-0.01009,-0.01009,-0.01009,-0.01009,-0.003104,-0.02111,-0.02111,-0.05589,-0.1531,0.0,2.0,19.0,49.0,49.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,5.686,4.755,4.486,6.732,6.896,6.652,0.9743,0.975,0.9757,0.9743,0.9788,0.9738
2006-04-28,x10107,48.3,-0.1138,0.005797,-0.01449,-0.04141,0.004147,0.1739,1.0,0.0,0.0,1.0,1.0,0.0,0.005797,0.005797,0.009115,0.181,0.0,-0.04058,-0.06584,-0.1093,-0.1093,0.0,-0.04611,-0.07122,-0.1144,-0.1144,1.0,1.0,1.0,61.0,120.0,0.0,3.0,15.0,31.0,31.0,1.0,0.0,0.0,1.0,1.0,17.25,16.83,18.55,11.54,12.47,13.39,0.9961,0.9981,0.9982,0.9941,0.9943,0.9945
2009-01-22,x10107,34.22,-0.1171,0.00526,0.02805,0.005845,0.1058,0.4939,1.0,1.0,1.0,1.0,1.0,0.0,0.05435,0.149,0.1549,0.4512,0.0,0.0,-0.0005845,-0.1146,-0.1146,0.0,-0.02494,-0.1246,-0.2294,-0.2294,1.0,4.0,11.0,58.0,126.0,0.0,0.0,6.0,31.0,31.0,1.0,1.0,1.0,1.0,1.0,9.159,10.42,11.2,11.02,11.65,11.94,0.9901,0.9944,0.9965,0.9921,0.9944,0.9948
2002-10-03,x10108,15.62,-0.1848,-0.02945,0.1364,0.4481,0.5602,0.3713,0.0,1.0,1.0,1.0,1.0,0.0,0.06914,0.4193,0.5621,0.5941,0.0,-0.04738,-0.04738,-0.04738,-0.04738,-0.02945,-0.04738,-0.04738,-0.08904,-0.2875,0.0,5.0,21.0,62.0,65.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.4401,0.3886,0.4534,0.386,0.3446,0.3337,0.522,0.5066,0.533,0.464,0.4216,0.4132
2003-04-24,x10108,20.79,-0.1027,0.03896,0.05099,0.05099,0.2092,0.3266,1.0,1.0,1.0,1.0,1.0,0.0,0.06878,0.1289,0.33,0.4103,0.0,0.0,0.0,0.0,0.0,0.0,-0.0324,-0.06902,-0.09078,-0.1027,1.0,3.0,12.0,51.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3782,0.3548,0.4193,0.389,0.3751,0.3433,0.4542,0.4561,0.5018,0.4562,0.4408,0.4236
2002-06-28,x10137,25.75,-0.1047,0.0466,-0.0699,-0.2979,-0.5006,-0.7184,1.0,0.0,0.0,0.0,0.0,0.0,0.0466,0.0466,0.0466,0.0466,0.0,0.0,-0.3429,-0.5445,-0.8524,0.0,-0.1113,-0.3722,-0.5647,-0.859,1.0,1.0,1.0,1.0,1.0,0.0,5.0,16.0,60.0,70.0,1.0,0.0,0.0,0.0,0.0,0.2931,0.1959,0.2044,0.2215,0.247,0.2485,0.4132,0.2216,0.2265,0.2575,0.303,0.3258
2002-09-24,x10137,11.73,-0.1381,0.05627,0.02302,-0.4757,-0.4271,-0.5038,1.0,1.0,0.0,0.0,0.0,0.0,0.1168,0.1168,0.1168,0.1168,0.0,0.0,-0.676,-0.676,-0.676,0.0,-0.08397,-0.7099,-0.7099,-0.7099,1.0,4.0,4.0,4.0,4.0,0.0,0.0,10.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.6843,0.2692,0.2464,0.1361,0.2194,0.2433,0.6607,0.344,0.2778,0.1557,0.242,0.2917
2002-11-26,x10137,7.0,-0.1358,0.007143,-0.1157,0.03571,-0.1443,0.2414,1.0,0.0,1.0,0.0,1.0,0.0,0.03143,0.22,0.4714,0.4714,0.0,-0.03714,-0.1157,-0.2071,-0.3114,0.0,-0.1427,-0.2506,-0.4612,-0.532,1.0,3.0,9.0,33.0,33.0,0.0,5.0,5.0,61.0,71.0,1.0,0.0,1.0,0.0,0.0,0.3954,0.3158,0.281,0.04523,0.1889,0.2302,0.487,0.4516,0.3468,0.00998,0.2201,0.2676
2002-12-19,x10137,6.9,-0.1667,-0.07246,0.05072,0.2971,-0.1754,0.3493,0.0,1.0,1.0,0.0,1.0,0.0,0.02899,0.4928,0.4928,0.4928,0.0,-0.07246,-0.07246,-0.3014,-0.3014,-0.07246,-0.07246,-0.1311,-0.532,-0.532,0.0,5.0,17.0,17.0,17.0,1.0,1.0,1.0,55.0,55.0,0.0,1.0,1.0,0.0,0.0,0.7052,0.3881,0.2965,0.05673,0.1784,0.2232,0.6667,0.4866,0.3676,0.01397,0.2061,0.2541
