trade_date,stock,purchase_price,trigger_drop_pct,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2024-01-22,x10516,56.99,-0.242,0.01199,0.06287,0.04276,0.2091,0.2037,1,1.0,1.0,1.0,1.0,0.0,0.01819,0.09809,0.2362,0.2714,0.0,-0.005998,-0.005998,-0.005998,-0.005998,0.0,-0.02375,-0.07558,-0.07558,-0.08654,1,5,8,54,122,0,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.185,0.6403,0.6425,0.4506,0.5653,0.6414,0.8032,0.6467,0.6357,0.5447,0.6274,0.671
2020-03-16,x10696,517.08,-0.1667,0.05465,-0.1065,0.0868,0.1597,0.1275,1,0.0,1.0,1.0,1.0,0.0,0.05465,0.1513,0.2712,0.2712,0.0,-0.06069,-0.1065,-0.1065,-0.1065,0.0,-0.1528,-0.1528,-0.1528,-0.1528,1,1,18,57,57,0,5,5,5,5,1.0,0.0,1.0,1.0,1.0,0.8415,0.9691,0.7409,1.461,1.207,0.9757,0.6957,0.7091,0.6377,0.8518,0.8118,0.7518
2017-10-26,x11552,199.99,-0.1637,-0.0182,-0.0179,0.0334,0.0327,-0.1289,0,0.0,1.0,1.0,0.0,0.0,0.009801,0.05171,0.09421,0.09421,0.0,-0.0182,-0.0182,-0.0182,-0.1501,-0.0182,-0.02743,-0.03514,-0.07029,-0.2233,0,2,19,35,35,1,1,1,1,101,0.0,1.0,1.0,1.0,0.0,2.458,1.086,1.058,2.369,2.403,2.441,0.9209,0.757,0.7549,0.9091,0.914,0.9118
2018-08-07,x11600,39.41,-0.1865,0.02487,-0.01028,-0.01282,-0.1136,0.08768,1,0.0,0.0,0.0,1.0,0.0,0.02487,0.02487,0.02487,0.09808,0.0,-0.009771,-0.03642,-0.129,-0.129,0.0,-0.0343,-0.0598,-0.1502,-0.1502,1,1,1,1,125,0,5,6,58,58,1.0,0.0,0.0,0.0,1.0,0.7572,0.5502,0.4397,0.2087,0.2757,0.3223,0.6455,0.5029,0.3986,0.1446,0.2639,0.3315
2020-03-09,x11786,148.15,-0.1507,0.09328,-0.1159,0.08066,0.5932,0.7532,1,0.0,1.0,1.0,1.0,0.0,0.09328,0.1578,0.5876,0.7496,0.0,-0.07553,-0.1159,-0.1159,-0.1159,0.0,-0.1913,-0.1913,-0.2062,-0.2062,1,1,13,63,126,0,5,5,5,5,1.0,0.0,1.0,1.0,1.0,0.1141,0.1242,0.1258,0.2206,0.234,0.2794,0.04545,0.04563,0.03986,0.2213,0.2205,0.2808
2022-07-22,x11786,361.37,-0.1715,0.08247,0.1168,0.1647,-0.163,-0.1734,1,1.0,1.0,0.0,0.0,0.0,0.08247,0.3185,0.3185,0.3185,0.0,0.0,0.0,-0.1273,-0.4458,0.0,-0.0669,-0.1167,-0.3652,-0.5797,1,5,17,17,17,0,0,0,63,95,1.0,1.0,1.0,0.0,0.0,0.1238,0.09988,0.09244,0.3579,0.4551,0.4141,0.1054,0.06718,0.05926,0.4453,0.5413,0.5074
2022-10-21,x11786,230.03,-0.2395,0.008608,0.01791,-0.06482,0.2535,,1,1.0,0.0,1.0,,0.0,0.05069,0.05069,0.2985,0.4498,0.0,-0.002825,-0.09742,-0.1294,-0.8288,0.0,-0.05093,-0.141,-0.1714,-0.8819,1,3,3,62,70,0,4,9,31,95,1.0,0.0,0.0,1.0,0.0,0.1588,0.1075,0.1012,0.3092,0.4281,0.4254,0.17,0.08046,0.06852,0.3814,0.5153,0.5204
2023-03-09,x11786,106.04,-0.6041,-0.6287,,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.6287,-0.6287,-0.6287,-0.6287,-0.6287,-0.6287,-0.6287,-0.6287,-0.6287,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.5296,0.1809,0.1412,0.2407,0.3195,0.404,0.5726,0.1846,0.1113,0.2545,0.3904,0.4824
2020-03-12,x11891,15.26,-0.156,0.0118,-0.4954,-0.08847,0.1691,0.4967,1,0.0,0.0,1.0,1.0,0.0,0.0118,0.0118,0.557,0.5636,0.0,-0.5321,-0.5321,-0.5321,-0.5321,0.0,-0.5376,-0.5376,-0.5376,-0.5376,1,1,1,60,118,0,4,4,4,4,1.0,0.0,0.0,1.0,1.0,2.859,1.598,1.793,0.2485,0.2998,0.3306,0.9348,0.8441,0.8768,0.2846,0.3422,0.3732
2020-03-16,x12060,20.72,-0.1516,0.06306,-0.08258,-0.02402,0.08709,-0.07658,1,0.0,0.0,1.0,0.0,0.0,0.06306,0.2192,0.2703,0.2703,0.0,-0.02703,-0.08258,-0.1757,-0.1757,0.0,-0.137,-0.1995,-0.3239,-0.3239,1,1,8,58,58,0,5,5,43,43,1.0,0.0,1.0,1.0,1.0,13.64,15.31,17.62,1.763,1.778,2.029,0.996,0.9962,0.9964,0.8715,0.8726,0.8913
