,1d,5d,21d,63d,126d
Final Cum Return,0.17875417205514577,1.610999648105218,16.5369328177034,33.94314413600227,178.81745612816516
Ann. Return,0.0144091872039926,0.0859698258430278,0.26838244838092645,0.36747054022962855,0.5543588614770044
Ann. Std,0.03204877035135181,0.09206840247224214,0.24276804275979338,0.3628339945279353,0.492184394358758
Sharpe Ratio,0.44960187383241745,0.9337603730981102,1.1055097916922996,1.012778697067031,1.1263235239289746
Avg Max Return,0.011482453913849004,0.034927347968581136,0.0818702147582986,0.15427830578981008,0.21047853364221092
Std Max Return,0.021703211610714816,0.05124088924353099,0.09954558164365751,0.1643103470226602,0.21480724222074424
Win Rate Max,0.4996140188358808,0.7475683186660491,0.8795738767948124,0.9402501157943493,0.9569245020842982
Avg Return,0.00028822217075806717,-0.00030798662285008537,0.014169958050301067,0.04589710070222325,0.05599609242880964
Std Return,0.03665587496821624,0.0783565500474266,0.13457870315071543,0.18924395631580365,0.25647141576741894
Win Rate,0.4996140188358808,0.5167515825227729,0.5596726879728269,0.6123205187586845,0.5806700633009109
Avg Min Return,-0.011194231743090937,-0.03677892774937471,-0.07535213415941022,-0.1141603986572024,-0.15035998842098194
Std Min Return,0.024809465507931304,0.055028657838740294,0.09711397442583415,0.1211102633874225,0.14277161779411843
Pct Min Reached,0.5003859811641191,0.4881889763779528,0.4373938551798672,0.3957078894549946,0.4259688127219392
Max Drawdown Avg,-0.011194231743090937,-0.047499016983171216,-0.10489316272965879,-0.167440242704956,-0.22473174185579745
Max Drawdown Std,0.024809465507931304,0.05610296567022808,0.09441838276303587,0.11233198587889405,0.1286402686440951
Gain/Loss Ratio,1.0273322830408633,0.9237789758436489,1.0705960981883442,1.2394795723661163,1.332258846865839
Trades per Month Avg,45.61267605633803,45.61267605633803,45.61267605633803,45.61267605633803,45.61267605633803
Trades per Month Std,60.5057700304056,60.5057700304056,60.5057700304056,60.5057700304056,60.5057700304056
