,1d,5d,21d,63d,126d
Final Cum Return,0.07384977676453341,1.5535228163594224,3.4088268585347725,6.677669563577819,6.534043873870377
Ann. Return,0.00730386034191641,0.09217646175858307,0.17098943444823153,0.3189110631177827,0.4335363239005755
Ann. Std,0.0338858110422378,0.10263489489721445,0.2623159533496706,0.5079585747599596,0.6983900448423688
Sharpe Ratio,0.21554332380630745,0.8981006104297651,0.6518453501007633,0.6278288800784335,0.6207653260556248
Avg Max Return,0.01664189593716961,0.051932367207143934,0.11176340566429543,0.1989003516306298,0.2712591839226401
Std Max Return,0.034766685054313406,0.09005227504957887,0.15064644934115903,0.27723607505097464,0.37677122160588145
Win Rate Max,0.5055127624225948,0.7572874188189095,0.8808337109198007,0.9296178824950914,0.9438151336656094
Avg Return,0.0010789382268539492,0.005424925363191361,0.00929925816343453,0.023842256822307804,0.04169063969288627
Std Return,0.05193523035385922,0.1139515663746602,0.18807648190156473,0.30730891604035315,0.42905065777770374
Win Rate,0.5055127624225948,0.5191058752454312,0.5426672708050143,0.5502190001510345,0.5446307204349796
Avg Min Return,-0.015562957710315663,-0.04926020168532246,-0.109660194883794,-0.17163627986656094,-0.23050890911335142
Std Min Return,0.031152419970181477,0.07137436206910505,0.12778451259892992,0.17720833841924763,0.21836026480487383
Pct Min Reached,0.4944872375774052,0.4811961939284096,0.45854100589034885,0.4398127171122187,0.47288929164778737
Max Drawdown Avg,-0.015562957710315663,-0.06413298287267785,-0.14915578386950612,-0.23393130901676484,-0.30902965881286815
Max Drawdown Std,0.031152419970181477,0.07153076083003755,0.12748204516946807,0.16993351777103297,0.20233391177540413
Gain/Loss Ratio,1.0460046794110895,1.0832445574910894,0.9784300110075969,1.0419328611269227,1.1351227576556606
Trades per Month Avg,52.13385826771653,52.13385826771653,52.13385826771653,52.13385826771653,52.13385826771653
Trades per Month Std,73.68318735293478,73.68318735293478,73.68318735293478,73.68318735293478,73.68318735293478
