,1d,5d,21d,63d,126d
Final Cum Return,-0.05723207081213866,0.6470350695470803,2.5964141254969815,6.98016794983773,12.06757572210187
Ann. Return,-0.0037099013096621556,0.05512234304546769,0.18040565885142285,0.4042679555726067,0.6941599960136291
Ann. Std,0.06438751323132981,0.12148259997092462,0.35294807001731265,0.6567209956491578,0.9815764724908171
Sharpe Ratio,-0.05761833503855502,0.45374681689937946,0.5111393833165703,0.6155855504101777,0.707188910357795
Avg Max Return,0.0,0.07987504067363037,0.1792496085538284,0.3190756940264026,0.4639197451815182
Std Max Return,0.0,0.10393814388406174,0.23215726989386795,0.41052468744321324,0.582106722319755
Win Rate Max,0.0,0.767986798679868,0.8904290429042905,0.9412541254125413,0.9561056105610561
Avg Return,0.014919715181518153,0.022661042765254456,0.03275324107510561,0.06717281440650825,0.19106307976088446
Std Return,0.07350344290581214,0.15126540035390165,0.2704742375647502,0.42195580991339393,0.6233823835253408
Win Rate,0.5891089108910891,0.5448844884488449,0.5188118811881188,0.532013201320132,0.6085808580858085
Avg Min Return,0.0,-0.05129384614265676,-0.13492047972098678,-0.2265498415813531,-0.2790071399311881
Std Min Return,0.0,0.07266280996028915,0.14433385477328226,0.20351050864185266,0.23689902240655078
Pct Min Reached,0.4108910891089109,0.4617161716171617,0.48415841584158414,0.47854785478547857,0.41353135313531353
Max Drawdown Avg,-0.01923566699669967,-0.08894746237623762,-0.2033668349834984,-0.3189645214521452,-0.3859188250825082
Max Drawdown Std,0.03832283375212925,0.08199475501596327,0.13966689275832608,0.18523414005009348,0.2037669465506502
Gain/Loss Ratio,1.2384629825078852,1.3058544098686606,1.3410169278371251,1.408580990982398,1.7164304177644207
Trades per Month Avg,24.634146341463413,24.634146341463413,24.634146341463413,24.634146341463413,24.634146341463413
Trades per Month Std,43.089740190863466,43.089740190863466,43.089740190863466,43.089740190863466,43.089740190863466
