,1d,5d,21d,63d,126d
Final Cum Return,-0.1337911248389021,-0.2748440937688037,8.097875224094937,216.3028562059869,5228.662970872294
Ann. Return,-0.010184878574642436,-0.018548712709445837,0.22489835988636592,0.5806811541924606,0.9522852180330688
Ann. Std,0.07014791646747094,0.14204188413375757,0.24940021361546574,0.45620277648410845,0.5936507804713355
Sharpe Ratio,-0.1451914623774375,-0.1305862198503291,0.9017568855539247,1.2728575627436767,1.6041168467377263
Avg Max Return,0.0,0.04658154517191283,0.10520079618644067,0.21875296065375302,0.3184804430992736
Std Max Return,0.0,0.05224161717788082,0.11466820528048685,0.22220456449201398,0.29426085359025056
Win Rate Max,0.0,0.7566585956416465,0.8916464891041163,0.9515738498789347,0.9721549636803875
Avg Return,0.011193389225181597,-0.02297963587730024,0.026672155313438254,0.10311469158038741,0.15188755774818402
Std Return,0.06271330289585332,0.1149117373417315,0.15838820583401556,0.2219626026542769,0.32437194803156777
Win Rate,0.5986682808716707,0.4424939467312349,0.5786924939467313,0.6779661016949152,0.6634382566585957
Avg Min Return,0.0,-0.056317,-0.10645510205811139,-0.13997390611380145,-0.1738843401937046
Std Min Return,0.0,0.0763587502193386,0.11922734787278647,0.1298176179997637,0.14981774120500674
Pct Min Reached,0.4013317191283293,0.5635593220338984,0.450363196125908,0.31840193704600483,0.29782082324455206
Max Drawdown Avg,-0.015694991525423727,-0.08917727966101695,-0.14758533535108959,-0.2031196186440678,-0.2544399273607748
Max Drawdown Std,0.041509700027296294,0.09544186850299344,0.1166487084646156,0.1204781346653441,0.13520096276566507
Gain/Loss Ratio,1.1484732133520823,0.6929064545091778,1.1861075616181604,1.7376255269055183,1.8622987198891083
Trades per Month Avg,12.237037037037037,12.237037037037037,12.237037037037037,12.237037037037037,12.237037037037037
Trades per Month Std,36.55566342536772,36.55566342536772,36.55566342536772,36.55566342536772,36.55566342536772
